	label	type	predicted	packet loss	outliers	std	hop	node	mean
0	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	4	aaaa::212:7408:8:808	1.0
1	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
2	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
3	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	4	aaaa::212:7408:8:808	
4	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	3	aaaa::212:7407:7:707	1.0
5	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
6	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
7	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7407:7:707	
8	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	2	aaaa::212:7402:2:202	1.0
9	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
10	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
11	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7402:2:202	
12	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	2	aaaa::212:7406:6:606	1.0
13	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
14	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
15	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	2	aaaa::212:7406:6:606	
16	grid9_1bh-3_2019-02-13_16:28_	BH	BH	98.0	0	0.0	3	aaaa::212:7409:9:909	1.0
17	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
18	grid9_1bh-3_2019-02-13_16:28_	BH	BH	100.0	0	0.0	3	aaaa::212:7409:9:909	
